,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number,updated_venue,update_city
303,951357A,2016,Vidarbha Cricket Association Stadium,South Africa,West Indies,39,3,59,3,24,2,122,8,West Indies,field,Nagpur,West Indies,World T20,951357,A,Vidarbha Cricket Association Stadium,Nagpur
303,951357B,2016,Vidarbha Cricket Association Stadium,West Indies,South Africa,37,2,62,2,24,3,123,7,West Indies,field,Nagpur,West Indies,World T20,951357,B,Vidarbha Cricket Association Stadium,Nagpur
304,1237122A,2020,Newlands,South Africa,England,57,1,82,2,40,3,179,6,England,field,Cape Town,England,England tour of South Africa,1237122,A,Newlands,Cape Town
304,1237122B,2020,Newlands,England,South Africa,34,3,95,1,54,1,183,5,England,field,Cape Town,England,England tour of South Africa,1237122,B,Newlands,Cape Town
305,958415A,2016,Sheikh Abu Naser Stadium,Zimbabwe,Bangladesh,47,0,95,2,21,5,163,7,Zimbabwe,bat,Khulna,Bangladesh,Walton T20 Cricket Series,958415,A,Sheikh Abu Naser Stadium,Khulna
305,958415B,2016,Sheikh Abu Naser Stadium,Bangladesh,Zimbabwe,54,1,72,4,40,1,166,6,Zimbabwe,bat,Khulna,Bangladesh,Walton T20 Cricket Series,958415,B,Sheikh Abu Naser Stadium,Khulna
306,1144174A,2019,The Wanderers Stadium,South Africa,Sri Lanka,38,1,104,1,56,0,198,2,Sri Lanka,field,Johannesburg,South Africa,Sri Lanka tour of South Africa,1144174,A,The Wanderers Stadium,Johannesburg
306,1144174B,2019,The Wanderers Stadium,Sri Lanka,South Africa,61,1,76,7,0,0,137,8,Sri Lanka,field,Johannesburg,South Africa,Sri Lanka tour of South Africa,1144174,B,The Wanderers Stadium,Johannesburg
307,1142505A,2018,VRA Ground,Netherlands,Scotland,62,1,70,1,28,4,160,6,Netherlands,bat,Amstelveen,Scotland,Netherlands Tri-Nation T20I Series,1142505,A,VRA Ground,Amstelveen
307,1142505B,2018,VRA Ground,Scotland,Netherlands,74,1,73,2,14,0,161,3,Netherlands,bat,Amstelveen,Scotland,Netherlands Tri-Nation T20I Series,1142505,B,VRA Ground,Amstelveen
308,401076A,2009,Warner Park,Bangladesh,West Indies,43,4,49,3,26,1,118,8,Bangladesh,bat,St Kitts,West Indies,,401076,A,Warner Park,Basseterre
308,401076B,2009,Warner Park,West Indies,Bangladesh,46,1,68,3,5,0,119,4,Bangladesh,bat,St Kitts,West Indies,,401076,B,Warner Park,Basseterre
309,1298138A,2022,Bellerive Oval,Zimbabwe,Ireland,41,3,96,2,37,2,174,7,Ireland,field,Hobart,Zimbabwe,ICC Men's T20 World Cup,1298138,A,Bellerive Oval,Hobart
309,1298138B,2022,Bellerive Oval,Ireland,Zimbabwe,33,4,78,5,32,0,143,9,Ireland,field,Hobart,Zimbabwe,ICC Men's T20 World Cup,1298138,B,Bellerive Oval,Hobart
310,1214670A,2020,Shere Bangla National Stadium,Bangladesh,Zimbabwe,59,0,88,2,53,0,200,2,Zimbabwe,field,Dhaka,Bangladesh,Zimbabwe tour of Bangladesh,1214670,A,Shere Bangla National Stadium,Dhaka
310,1214670B,2020,Shere Bangla National Stadium,Zimbabwe,Bangladesh,38,2,90,5,24,2,152,9,Zimbabwe,field,Dhaka,Bangladesh,Zimbabwe tour of Bangladesh,1214670,B,Shere Bangla National Stadium,Dhaka
311,426393A,2010,Edgbaston,Pakistan,Australia,50,0,75,3,37,5,162,8,Pakistan,bat,Birmingham,Pakistan,MCC Spirit of Cricket T20I Series,426393,A,Edgbaston,Birmingham
311,426393B,2010,Edgbaston,Australia,Pakistan,47,2,73,3,31,2,151,7,Pakistan,bat,Birmingham,Pakistan,MCC Spirit of Cricket T20I Series,426393,B,Edgbaston,Birmingham
312,546473A,2012,Dubai International Cricket Stadium,Canada,Scotland,43,2,58,3,34,1,135,6,Canada,bat,,Scotland,ICC World Twenty20 Qualifier,546473,A,Dubai International Cricket Stadium,-
312,546473B,2012,Dubai International Cricket Stadium,Scotland,Canada,34,2,76,2,26,1,136,5,Canada,bat,,Scotland,ICC World Twenty20 Qualifier,546473,B,Dubai International Cricket Stadium,-
313,1299568A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Ireland,34,2,66,2,57,1,157,5,United Arab Emirates,bat,Al Amarat,United Arab Emirates,ICC Men’s T20 World Cup Qualifier A,1299568,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
313,1299568B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,United Arab Emirates,50,0,61,6,28,2,139,8,United Arab Emirates,bat,Al Amarat,United Arab Emirates,ICC Men’s T20 World Cup Qualifier A,1299568,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
314,1327279A,2022,Dubai International Cricket Stadium,India,Afghanistan,52,0,93,2,67,0,212,2,Afghanistan,field,Dubai,India,Asia Cup,1327279,A,Dubai International Cricket Stadium,Dubai
314,1327279B,2022,Dubai International Cricket Stadium,Afghanistan,India,21,2,52,2,38,1,111,5,Afghanistan,field,Dubai,India,Asia Cup,1327279,B,Dubai International Cricket Stadium,Dubai
315,1299583A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,Germany,50,0,29,4,30,1,109,5,Germany,field,Al Amarat,Germany,ICC Men's T20 World Cup Qualifier A,1299583,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat
315,1299583B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Germany,Philippines,39,0,76,0,0,0,115,0,Germany,field,Al Amarat,Germany,ICC Men's T20 World Cup Qualifier A,1299583,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat
316,1257946A,2021,Tribhuvan University International Cricket Ground,Netherlands,Malaysia,45,1,98,0,48,0,191,1,Netherlands,bat,Kirtipur,Netherlands,Nepal Tri-Nation T20I Series,1257946,A,Tribhuvan University International Cricket Ground,Kirtipur
316,1257946B,2021,Tribhuvan University International Cricket Ground,Malaysia,Netherlands,56,3,79,4,41,1,176,8,Netherlands,bat,Kirtipur,Netherlands,Nepal Tri-Nation T20I Series,1257946,B,Tribhuvan University International Cricket Ground,Kirtipur
317,463142A,2010,De Beers Diamond Oval,South Africa,Zimbabwe,57,2,84,1,53,3,194,6,South Africa,bat,Kimberley,South Africa,Zimbabwe in South Africa T20I Series,463142,A,De Beers Diamond Oval,Kimberley
317,463142B,2010,De Beers Diamond Oval,Zimbabwe,South Africa,45,1,101,2,40,4,186,7,South Africa,bat,Kimberley,South Africa,Zimbabwe in South Africa T20I Series,463142,B,De Beers Diamond Oval,Kimberley
318,1199507A,2019,Sheikh Zayed Stadium,Ireland,United Arab Emirates,41,1,52,3,32,5,125,9,United Arab Emirates,field,Abu Dhabi,United Arab Emirates,ICC Men's T20 World Cup Qualifier,1199507,A,Sheikh Zayed Stadium,Abu Dhabi
318,1199507B,2019,Sheikh Zayed Stadium,United Arab Emirates,Ireland,53,1,69,4,7,0,129,5,United Arab Emirates,field,Abu Dhabi,United Arab Emirates,ICC Men's T20 World Cup Qualifier,1199507,B,Sheikh Zayed Stadium,Abu Dhabi
319,1275271A,2021,Moara Vlasiei Cricket Ground,Bulgaria,Malta,32,4,63,1,17,2,112,7,Bulgaria,bat,Ilfov County,Malta,Continental Cup,1275271,A,Moara Vlasiei Cricket Ground,Ilfov County
319,1275271B,2021,Moara Vlasiei Cricket Ground,Malta,Bulgaria,44,2,69,1,0,0,113,3,Bulgaria,bat,Ilfov County,Malta,Continental Cup,1275271,B,Moara Vlasiei Cricket Ground,Ilfov County
320,1199513A,2019,Sheikh Zayed Stadium,Hong Kong,United Arab Emirates,35,0,60,3,21,2,116,5,Hong Kong,bat,Abu Dhabi,United Arab Emirates,ICC Men's T20 World Cup Qualifier,1199513,A,Sheikh Zayed Stadium,Abu Dhabi
320,1199513B,2019,Sheikh Zayed Stadium,United Arab Emirates,Hong Kong,44,1,74,1,0,0,118,2,Hong Kong,bat,Abu Dhabi,United Arab Emirates,ICC Men's T20 World Cup Qualifier,1199513,B,Sheikh Zayed Stadium,Abu Dhabi
321,1310172A,2022,Marsa Sports Club,Gibraltar,Hungary,47,2,59,3,31,2,137,7,Hungary,field,Marsa,Hungary,Valletta Cup,1310172,A,Marsa Sports Club,Marsa
321,1310172B,2022,Marsa Sports Club,Hungary,Gibraltar,42,1,66,3,30,2,138,6,Hungary,field,Marsa,Hungary,Valletta Cup,1310172,B,Marsa Sports Club,Marsa
322,1192877A,2019,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,36,1,65,4,24,2,125,7,Sri Lanka,bat,Kandy,Sri Lanka,New Zealand tour of Sri Lanka,1192877,A,Pallekele International Cricket Stadium,Kandy
322,1192877B,2019,Pallekele International Cricket Stadium,New Zealand,Sri Lanka,31,3,57,3,0,0,88,6,Sri Lanka,bat,Kandy,Sri Lanka,New Zealand tour of Sri Lanka,1192877,B,Pallekele International Cricket Stadium,Kandy
323,319112A,2007,St George's Park,South Africa,West Indies,16,5,42,1,0,0,58,6,West Indies,field,Port Elizabeth,West Indies,West Indies in South Africa T20I Series,319112,A,St George's Park,Port Elizabeth
323,319112B,2007,St George's Park,West Indies,South Africa,41,5,19,0,0,0,60,5,West Indies,field,Port Elizabeth,West Indies,West Indies in South Africa T20I Series,319112,B,St George's Park,Port Elizabeth
324,1233973A,2021,Westpac Stadium,Australia,New Zealand,47,1,106,2,55,1,208,4,New Zealand,field,Wellington,Australia,Australia tour of New Zealand,1233973,A,Westpac Stadium,Wellington
324,1233973B,2021,Westpac Stadium,New Zealand,Australia,59,1,73,5,12,2,144,8,New Zealand,field,Wellington,Australia,Australia tour of New Zealand,1233973,B,Westpac Stadium,Wellington
325,1310166A,2022,Desert Springs Cricket Ground,Spain,Norway,30,1,63,3,32,4,125,8,Spain,bat,Almeria,Spain,Spain Triangular T20I Series,1310166,A,Desert Springs Cricket Ground,Almeria
325,1310166B,2022,Desert Springs Cricket Ground,Norway,Spain,18,2,44,6,22,2,84,10,Spain,bat,Almeria,Spain,Spain Triangular T20I Series,1310166,B,Desert Springs Cricket Ground,Almeria
326,1283040A,2021,Gahanga International Cricket Stadium. Rwanda,Malawi,Rwanda,31,1,69,0,39,1,139,2,Malawi,bat,Kigali City,Malawi,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283040,A,Gahanga International Cricket Stadium. Rwanda,Kigali City
326,1283040B,2021,Gahanga International Cricket Stadium. Rwanda,Rwanda,Malawi,37,3,52,5,26,2,115,10,Malawi,bat,Kigali City,Malawi,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283040,B,Gahanga International Cricket Stadium. Rwanda,Kigali City
327,1140070A,2018,National Stadium,Pakistan,West Indies,54,1,102,1,49,1,205,3,Pakistan,bat,Karachi,Pakistan,West Indies tour of Pakistan,1140070,A,National Stadium,Karachi
327,1140070B,2018,National Stadium,West Indies,Pakistan,30,1,65,4,28,5,123,10,Pakistan,bat,Karachi,Pakistan,West Indies tour of Pakistan,1140070,B,National Stadium,Karachi
328,630951A,2013,Wanderers Cricket Ground,Netherlands,Kenya,50,0,102,2,20,3,172,5,Netherlands,bat,Windhoek,Kenya,,630951,A,Wanderers Cricket Ground,Windhoek
328,630951B,2013,Wanderers Cricket Ground,Kenya,Netherlands,35,2,89,1,52,2,176,5,Netherlands,bat,Windhoek,Kenya,,630951,B,Wanderers Cricket Ground,Windhoek
329,1267304A,2021,National Sports Academy,Greece,Romania,44,4,93,1,20,2,157,7,Greece,bat,Sofia,Romania,Sofia Twenty20,1267304,A,National Sports Academy,Sofia
329,1267304B,2021,National Sports Academy,Romania,Greece,83,2,76,5,0,0,159,7,Greece,bat,Sofia,Romania,Sofia Twenty20,1267304,B,National Sports Academy,Sofia
330,1323552A,2022,Lisicji Jarak Cricket Ground,Bulgaria,Serbia,31,3,128,1,47,1,206,5,Serbia,field,Belgrade,Bulgaria,Bulgaria tour of Serbia,1323552,A,Lisicji Jarak Cricket Ground,Belgrade
330,1323552B,2022,Lisicji Jarak Cricket Ground,Serbia,Bulgaria,48,3,47,4,16,1,111,8,Serbia,field,Belgrade,Bulgaria,Bulgaria tour of Serbia,1323552,B,Lisicji Jarak Cricket Ground,Belgrade
331,1140071A,2018,National Stadium,West Indies,Pakistan,29,1,70,3,54,1,153,5,West Indies,bat,Karachi,Pakistan,West Indies tour of Pakistan,1140071,A,National Stadium,Karachi
331,1140071B,2018,National Stadium,Pakistan,West Indies,62,1,77,1,15,0,154,2,West Indies,bat,Karachi,Pakistan,West Indies tour of Pakistan,1140071,B,National Stadium,Karachi
332,1267310A,2021,National Sports Academy,Serbia,Romania,32,0,58,3,25,4,115,7,Serbia,bat,Sofia,Romania,Sofia Twenty20,1267310,A,National Sports Academy,Sofia
332,1267310B,2021,National Sports Academy,Romania,Serbia,116,0,0,0,0,0,116,0,Serbia,bat,Sofia,Romania,Sofia Twenty20,1267310,B,National Sports Academy,Sofia
333,1188621A,2019,Central Broward Regional Park Stadium Turf Ground,West Indies,India,33,5,37,2,25,1,95,8,India,field,Lauderhill,India,India tour of United States of America and West Indies,1188621,A,Central Broward Regional Park Stadium Turf Ground,Lauderhill
333,1188621B,2019,Central Broward Regional Park Stadium Turf Ground,India,West Indies,31,0,57,5,10,0,98,5,India,field,Lauderhill,India,India tour of United States of America and West Indies,1188621,B,Central Broward Regional Park Stadium Turf Ground,Lauderhill
334,889463A,2015,Bready Cricket Club,Ireland,Scotland,36,2,93,3,37,1,166,6,Scotland,field,Londonderry,Scotland,Scotland in Ireland T20I Series,889463,A,Bready Cricket Club,Bready
334,889463B,2015,Bready Cricket Club,Scotland,Ireland,58,1,85,3,24,0,167,4,Scotland,field,Londonderry,Scotland,Scotland in Ireland T20I Series,889463,B,Bready Cricket Club,Bready
335,1283041A,2021,Integrated Polytechnic Regional Centre,Uganda,Seychelles,41,1,77,2,46,2,164,5,Uganda,bat,Kigali City,Uganda,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283041,A,Integrated Polytechnic Regional Centre,Kigali City
335,1283041B,2021,Integrated Polytechnic Regional Centre,Seychelles,Uganda,18,2,44,2,7,4,69,8,Uganda,bat,Kigali City,Uganda,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283041,B,Integrated Polytechnic Regional Centre,Kigali City
336,1233972A,2021,University Oval,New Zealand,Australia,45,1,130,2,44,4,219,7,Australia,field,Dunedin,New Zealand,Australia tour of New Zealand,1233972,A,University Oval,Dunedin
336,1233972B,2021,University Oval,Australia,New Zealand,53,1,114,5,48,2,215,8,Australia,field,Dunedin,New Zealand,Australia tour of New Zealand,1233972,B,University Oval,Dunedin
337,1286677A,2021,Coolidge Cricket Ground,Bermuda,Bahamas,61,0,139,1,39,5,239,6,Bahamas,field,Coolidge,Bermuda,ICC Men's T20 World Cup Americas Region Qualifier,1286677,A,Coolidge Cricket Ground,Coolidge
337,1286677B,2021,Coolidge Cricket Ground,Bahamas,Bermuda,22,3,52,2,25,2,99,7,Bahamas,field,Coolidge,Bermuda,ICC Men's T20 World Cup Americas Region Qualifier,1286677,B,Coolidge Cricket Ground,Coolidge
338,1310167A,2022,Svanholm Park,Denmark,Finland,41,0,55,4,41,3,137,7,Finland,field,Brondby,Finland,Finland tour of Denmark,1310167,A,Svanholm Park,Brondby
338,1310167B,2022,Svanholm Park,Finland,Denmark,29,0,75,3,38,3,142,6,Finland,field,Brondby,Finland,Finland tour of Denmark,1310167,B,Svanholm Park,Brondby
339,1192876A,2019,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,38,1,86,2,37,4,161,7,Sri Lanka,bat,Kandy,New Zealand,New Zealand tour of Sri Lanka,1192876,A,Pallekele International Cricket Stadium,Kandy
339,1192876B,2019,Pallekele International Cricket Stadium,New Zealand,Sri Lanka,59,1,74,0,32,3,165,4,Sri Lanka,bat,Kandy,New Zealand,New Zealand tour of Sri Lanka,1192876,B,Pallekele International Cricket Stadium,Kandy
340,1310173A,2022,Marsa Sports Club,Romania,Malta,55,1,70,2,40,1,165,4,Malta,field,Marsa,Malta,Valletta Cup,1310173,A,Marsa Sports Club,Marsa
340,1310173B,2022,Marsa Sports Club,Malta,Romania,44,0,84,4,38,1,166,5,Malta,field,Marsa,Malta,Valletta Cup,1310173,B,Marsa Sports Club,Marsa
341,1199512A,2019,ICC Academy,Scotland,Papua New Guinea,42,1,61,2,43,2,146,5,Scotland,bat,Dubai,Scotland,ICC Men's T20 World Cup Qualifier,1199512,A,ICC Academy,Dubai
341,1199512B,2019,ICC Academy,Papua New Guinea,Scotland,34,1,74,5,34,3,142,9,Scotland,bat,Dubai,Scotland,ICC Men's T20 World Cup Qualifier,1199512,B,ICC Academy,Dubai
342,1188379A,2019,Hazelaarweg,Netherlands,Zimbabwe,70,1,70,4,59,1,199,6,Zimbabwe,field,Rotterdam,Netherlands,Zimbabwe tour of Netherlands and Ireland,1188379,A,Hazelaarweg,Rotterdam
342,1188379B,2019,Hazelaarweg,Zimbabwe,Netherlands,53,1,65,5,32,3,150,9,Zimbabwe,field,Rotterdam,Netherlands,Zimbabwe tour of Netherlands and Ireland,1188379,B,Hazelaarweg,Rotterdam
343,953347A,2016,Sharjah Cricket Stadium,Afghanistan,Zimbabwe,43,0,124,4,48,2,215,6,Zimbabwe,field,,Afghanistan,Afghanistan v Zimbabwe T20I Series,953347,A,Sharjah Cricket Stadium,-
343,953347B,2016,Sharjah Cricket Stadium,Zimbabwe,Afghanistan,34,4,85,2,15,3,134,9,Zimbabwe,field,,Afghanistan,Afghanistan v Zimbabwe T20I Series,953347,B,Sharjah Cricket Stadium,-
344,1275270A,2021,Moara Vlasiei Cricket Ground,Hungary,Czech Republic,52,0,83,3,30,3,165,6,Czech Republic,field,Ilfov County,Hungary,Continental Cup,1275270,A,Moara Vlasiei Cricket Ground,Ilfov County
344,1275270B,2021,Moara Vlasiei Cricket Ground,Czech Republic,Hungary,34,2,80,1,46,4,160,7,Czech Republic,field,Ilfov County,Hungary,Continental Cup,1275270,B,Moara Vlasiei Cricket Ground,Ilfov County
345,1199506A,2019,ICC Academy Ground No 2,Scotland,Kenya,43,2,79,3,48,1,170,6,Scotland,bat,Dubai,Scotland,ICC Men's T20 World Cup Qualifier,1199506,A,ICC Academy Ground No 2,Dubai
345,1199506B,2019,ICC Academy Ground No 2,Kenya,Scotland,43,0,77,4,19,4,139,8,Scotland,bat,Dubai,Scotland,ICC Men's T20 World Cup Qualifier,1199506,B,ICC Academy Ground No 2,Dubai
346,1257947A,2021,Tribhuvan University International Cricket Ground,Malaysia,Nepal,44,2,63,7,2,0,109,9,Nepal,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1257947,A,Tribhuvan University International Cricket Ground,Kirtipur
346,1257947B,2021,Tribhuvan University International Cricket Ground,Nepal,Malaysia,70,0,43,1,0,0,113,1,Nepal,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1257947,B,Tribhuvan University International Cricket Ground,Kirtipur
347,1299596A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Nepal,35,3,64,4,28,3,127,10,Nepal,field,Al Amarat,Ireland,Oman Quadrangular T20I Series,1299596,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
347,1299596B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Ireland,40,2,46,2,25,4,111,8,Nepal,field,Al Amarat,Ireland,Oman Quadrangular T20I Series,1299596,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
348,1299582A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Canada,40,3,63,2,28,3,131,8,Bahrain,bat,Al Amarat,Canada,ICC Men's T20 World Cup Qualifier A,1299582,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
348,1299582B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Bahrain,41,0,91,2,0,0,132,2,Bahrain,bat,Al Amarat,Canada,ICC Men's T20 World Cup Qualifier A,1299582,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
349,1327278A,2022,Sharjah Cricket Stadium,Afghanistan,Pakistan,48,2,56,3,25,1,129,6,Pakistan,field,Sharjah,Pakistan,Asia Cup,1327278,A,Sharjah Cricket Stadium,Sharjah
349,1327278B,2022,Sharjah Cricket Stadium,Pakistan,Afghanistan,35,1,56,1,40,4,131,6,Pakistan,field,Sharjah,Pakistan,Asia Cup,1327278,B,Sharjah Cricket Stadium,Sharjah
350,884351A,2016,Newlands,South Africa,Australia,68,1,63,2,47,1,178,4,South Africa,bat,Cape Town,Australia,Australia in South Africa T20I Series,884351,A,Newlands,Cape Town
350,884351B,2016,Newlands,Australia,South Africa,51,0,96,2,34,2,181,4,South Africa,bat,Cape Town,Australia,Australia in South Africa T20I Series,884351,B,Newlands,Cape Town
351,1299569A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Germany,Bahrain,39,0,65,5,2,2,106,7,Bahrain,field,Al Amarat,Bahrain,ICC Men’s T20 World Cup Qualifier A,1299569,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat
351,1299569B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,Germany,33,2,74,1,0,0,107,3,Bahrain,field,Al Amarat,Bahrain,ICC Men’s T20 World Cup Qualifier A,1299569,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat
352,426392A,2010,Edgbaston,Pakistan,Australia,43,1,94,3,30,3,167,7,Pakistan,bat,Birmingham,Pakistan,MCC Spirit of Cricket T20I Series,426392,A,Edgbaston,Birmingham
352,426392B,2010,Edgbaston,Australia,Pakistan,56,1,66,3,22,5,144,9,Pakistan,bat,Birmingham,Pakistan,MCC Spirit of Cricket T20I Series,426392,B,Edgbaston,Birmingham
353,1288316A,2022,Gaddafi Stadium,Pakistan,Australia,56,0,65,4,41,4,162,8,Australia,field,Lahore,Australia,Australia tour of Pakistan,1288316,A,Gaddafi Stadium,Lahore
353,1288316B,2022,Gaddafi Stadium,Australia,Pakistan,63,1,80,4,20,2,163,7,Australia,field,Lahore,Australia,Australia tour of Pakistan,1288316,B,Gaddafi Stadium,Lahore
354,1214671A,2020,Shere Bangla National Stadium,Zimbabwe,Bangladesh,31,1,66,3,22,3,119,7,Bangladesh,field,Dhaka,Bangladesh,Zimbabwe tour of Bangladesh,1214671,A,Shere Bangla National Stadium,Dhaka
354,1214671B,2020,Shere Bangla National Stadium,Bangladesh,Zimbabwe,44,0,76,1,0,0,120,1,Bangladesh,field,Dhaka,Bangladesh,Zimbabwe tour of Bangladesh,1214671,B,Shere Bangla National Stadium,Dhaka
