,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number,updated_venue,update_city
1384,1310169B,2022,Svanholm Park,Finland,Denmark,30,1,50,5,29,2,109,8,Denmark,bat,Brondby,Denmark,Finland tour of Denmark,1310169,B,Svanholm Park,Brondby
1385,1286679A,2021,Sir Vivian Richards Stadium,Bahamas,Belize,31,1,84,2,35,4,150,7,Bahamas,bat,North Sound,Bahamas,ICC Men's T20 World Cup Americas Region Qualifier,1286679,A,Sir Vivian Richards Stadium,North Sound
1385,1286679B,2021,Sir Vivian Richards Stadium,Belize,Bahamas,28,1,80,4,31,1,139,6,Bahamas,bat,North Sound,Bahamas,ICC Men's T20 World Cup Americas Region Qualifier,1286679,B,Sir Vivian Richards Stadium,North Sound
1386,1233954A,2020,Eden Park,West Indies,New Zealand,60,4,120,2,0,0,180,6,New Zealand,field,Auckland,New Zealand,West Indies tour of New Zealand,1233954,A,Eden Park,Auckland
1386,1233954B,2020,Eden Park,New Zealand,West Indies,62,3,117,2,0,0,179,5,New Zealand,field,Auckland,New Zealand,West Indies tour of New Zealand,1233954,B,Eden Park,Auckland
1387,660173A,2013,ICC Academy,Scotland,Netherlands,48,1,55,3,62,0,165,4,Netherlands,field,Dubai,Scotland,ICC World Twenty20 Qualifier,660173,A,ICC Academy,Dubai
1387,660173B,2013,ICC Academy,Netherlands,Scotland,43,1,69,3,38,1,150,5,Netherlands,field,Dubai,Scotland,ICC World Twenty20 Qualifier,660173,B,ICC Academy,Dubai
1388,1275040A,2021,Entebbe Cricket Oval,Uganda,Nigeria,39,1,76,2,37,1,152,4,Uganda,bat,Entebbe,Uganda,Uganda T20 Tri-Series,1275040,A,Entebbe Cricket Oval,Entebbe
1388,1275040B,2021,Entebbe Cricket Oval,Nigeria,Uganda,24,1,48,3,24,2,96,6,Uganda,bat,Entebbe,Uganda,Uganda T20 Tri-Series,1275040,B,Entebbe Cricket Oval,Entebbe
1389,1275054A,2021,Desert Springs Cricket Ground,Germany,Spain,39,4,54,3,26,2,119,9,Spain,field,Almeria,Spain,Germany tour of Spain,1275054,A,Desert Springs Cricket Ground,Almeria
1389,1275054B,2021,Desert Springs Cricket Ground,Spain,Germany,27,3,68,3,25,2,120,8,Spain,field,Almeria,Spain,Germany tour of Spain,1275054,B,Desert Springs Cricket Ground,Almeria
1390,1089243A,2017,Sheikh Zayed Stadium,Papua New Guinea,United Arab Emirates,46,0,52,3,30,1,128,4,Papua New Guinea,bat,Abu Dhabi,United Arab Emirates,Papua New Guinea in United Arab Emirates T20I Series,1089243,A,Sheikh Zayed Stadium,Abu Dhabi
1390,1089243B,2017,Sheikh Zayed Stadium,United Arab Emirates,Papua New Guinea,45,2,61,0,24,2,130,4,Papua New Guinea,bat,Abu Dhabi,United Arab Emirates,Papua New Guinea in United Arab Emirates T20I Series,1089243,B,Sheikh Zayed Stadium,Abu Dhabi
1391,1310182A,2022,Marsa Sports Club,Hungary,Czech Republic,33,2,84,3,52,2,169,7,Hungary,bat,Marsa,Czech Republic,Valletta Cup,1310182,A,Marsa Sports Club,Marsa
1391,1310182B,2022,Marsa Sports Club,Czech Republic,Hungary,46,2,95,1,34,0,175,3,Hungary,bat,Marsa,Czech Republic,Valletta Cup,1310182,B,Marsa Sports Club,Marsa
1392,1286686A,2021,Coolidge Cricket Ground,Canada,Panama,72,0,117,1,56,0,245,1,Canada,bat,Coolidge,Canada,ICC Men's T20 World Cup Americas Region Qualifier,1286686,A,Coolidge Cricket Ground,Coolidge
1392,1286686B,2021,Coolidge Cricket Ground,Panama,Canada,15,2,22,6,0,2,37,10,Canada,bat,Coolidge,Canada,ICC Men's T20 World Cup Americas Region Qualifier,1286686,B,Coolidge Cricket Ground,Coolidge
1393,461565A,2010,Sheikh Zayed Stadium,Pakistan,South Africa,35,3,51,3,34,3,120,9,Pakistan,bat,Abu Dhabi,South Africa,Pakistan v South Africa T20I Series,461565,A,Sheikh Zayed Stadium,Abu Dhabi
1393,461565B,2010,Sheikh Zayed Stadium,South Africa,Pakistan,38,0,54,2,33,1,125,3,Pakistan,bat,Abu Dhabi,South Africa,Pakistan v South Africa T20I Series,461565,B,Sheikh Zayed Stadium,Abu Dhabi
1394,1310183A,2022,Marsa Sports Club,Gibraltar,Romania,34,1,84,5,23,4,141,10,Gibraltar,bat,Marsa,Romania,Valletta Cup,1310183,A,Marsa Sports Club,Marsa
1394,1310183B,2022,Marsa Sports Club,Romania,Gibraltar,92,0,50,2,0,0,142,2,Gibraltar,bat,Marsa,Romania,Valletta Cup,1310183,B,Marsa Sports Club,Marsa
1395,1263151A,2021,National Cricket Stadium,South Africa,West Indies,53,1,69,3,38,2,160,6,West Indies,field,St George's,West Indies,South Africa tour of West Indies,1263151,A,National Cricket Stadium,St George's
1395,1263151B,2021,National Cricket Stadium,West Indies,South Africa,73,0,88,2,0,0,161,2,West Indies,field,St George's,West Indies,South Africa tour of West Indies,1263151,B,National Cricket Stadium,St George's
1396,1233955A,2020,Bay Oval,New Zealand,West Indies,49,1,119,1,70,1,238,3,West Indies,field,Mount Maunganui,New Zealand,West Indies tour of New Zealand,1233955,A,Bay Oval,Mount Maunganui
1396,1233955B,2020,Bay Oval,West Indies,New Zealand,44,2,88,5,34,2,166,9,West Indies,field,Mount Maunganui,New Zealand,West Indies tour of New Zealand,1233955,B,Bay Oval,Mount Maunganui
1397,1310168A,2022,Svanholm Park,Denmark,Finland,58,1,70,2,43,2,171,5,Finland,field,Brondby,Denmark,Finland tour of Denmark,1310168,A,Svanholm Park,Brondby
1397,1310168B,2022,Svanholm Park,Finland,Denmark,17,4,16,5,0,0,33,9,Finland,field,Brondby,Denmark,Finland tour of Denmark,1310168,B,Svanholm Park,Brondby
1398,1199509A,2019,Tolerance Oval,Canada,Jersey,42,0,85,2,49,3,176,5,Jersey,field,Abu Dhabi,Canada,ICC Men's T20 World Cup Qualifier,1199509,A,Tolerance Oval,Abu Dhabi
1398,1199509B,2019,Tolerance Oval,Jersey,Canada,53,3,67,4,3,3,123,10,Jersey,field,Abu Dhabi,Canada,ICC Men's T20 World Cup Qualifier,1199509,B,Tolerance Oval,Abu Dhabi
1399,1197524A,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Nepal,51,2,58,3,24,5,133,10,Nepal,field,Al Amarat,Nepal,Oman Pentangular T20I Series,1197524,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
