,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number
34,1332498A,2022,Willowmoore Park,Ghana,Mozambique,33,1,94,1,27,2,154,4,Ghana,bat,Benoni,Ghana,Africa Cricket Association Cup,1332498,A
34,1332498B,2022,Willowmoore Park,Mozambique,Ghana,25,1,68,3,33,0,126,4,Ghana,bat,Benoni,Ghana,Africa Cricket Association Cup,1332498,B
35,306989A,2007,Gymkhana Club Ground,Pakistan,Bangladesh,67,0,82,4,42,3,191,7,Bangladesh,field,Nairobi,Pakistan,Twenty20 Quadrangular (in Kenya),306989,A
35,306989B,2007,Gymkhana Club Ground,Bangladesh,Pakistan,68,1,68,4,25,1,161,6,Bangladesh,field,Nairobi,Pakistan,Twenty20 Quadrangular (in Kenya),306989,B
36,1286667A,2021,Coolidge Cricket Ground,Belize,United States of America,24,2,30,2,10,4,64,8,United States of America,field,Coolidge,United States of America,ICC Men's T20 World Cup Americas Region Qualifier,1286667,A
36,1286667B,2021,Coolidge Cricket Ground,United States of America,Belize,68,0,0,0,0,0,68,0,United States of America,field,Coolidge,United States of America,ICC Men's T20 World Cup Americas Region Qualifier,1286667,B
37,1310177A,2022,Marsa Sports Club,Czech Republic,Bulgaria,84,0,115,0,59,2,258,2,Czech Republic,bat,Marsa,Czech Republic,Valletta Cup,1310177,A
37,1310177B,2022,Marsa Sports Club,Bulgaria,Czech Republic,47,0,95,1,28,5,170,6,Czech Republic,bat,Marsa,Czech Republic,Valletta Cup,1310177,B
38,1310163A,2022,Desert Springs Cricket Ground,Norway,Guernsey,27,1,60,1,33,5,120,7,Norway,bat,Almeria,Guernsey,Spain Triangular T20I Series,1310163,A
38,1310163B,2022,Desert Springs Cricket Ground,Guernsey,Norway,36,1,65,1,25,0,126,2,Norway,bat,Almeria,Guernsey,Spain Triangular T20I Series,1310163,B
39,1286673A,2021,Sir Vivian Richards Stadium,United States of America,Bermuda,57,2,84,4,31,4,172,10,United States of America,bat,North Sound,United States of America,ICC Men's T20 World Cup Americas Region Qualifier,1286673,A
