,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number
1220,1305500B,2022,Tribhuvan University International Cricket Ground,Nepal,Malaysia,47,1,70,2,0,0,117,3,Malaysia,bat,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1305500,B
1221,1333924A,2022,Independence Park,Samoa,Cook Islands,45,1,78,4,34,4,157,9,Cook Islands,field,Port Vila,Cook Islands,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333924,A
1221,1333924B,2022,Independence Park,Cook Islands,Samoa,46,2,68,2,44,2,158,6,Cook Islands,field,Port Vila,Cook Islands,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333924,B
1222,533285A,2012,Pallekele International Cricket Stadium,West Indies,England,47,0,93,3,39,2,179,5,West Indies,bat,,West Indies,ICC World Twenty20,533285,A
1222,533285B,2012,Pallekele International Cricket Stadium,England,West Indies,29,2,90,1,45,1,164,4,West Indies,bat,,West Indies,ICC World Twenty20,533285,B
1223,635658A,2013,R Premadasa Stadium,South Africa,Sri Lanka,23,1,58,1,34,2,115,4,South Africa,bat,Colombo,South Africa,South Africa in Sri Lanka T20I Series,635658,A
1223,635658B,2013,R Premadasa Stadium,Sri Lanka,South Africa,29,2,54,3,20,4,103,9,South Africa,bat,Colombo,South Africa,South Africa in Sri Lanka T20I Series,635658,B
1224,1317138A,2022,National Sports Academy,Serbia,Bulgaria,39,3,98,0,48,1,185,4,Serbia,bat,Sofia,Bulgaria,Sofia Twenty20,1317138,A
1224,1317138B,2022,National Sports Academy,Bulgaria,Serbia,47,1,75,0,0,0,122,1,Serbia,bat,Sofia,Bulgaria,Sofia Twenty20,1317138,B
1225,533291A,2012,R Premadasa Stadium,Pakistan,India,42,1,67,4,19,4,128,9,Pakistan,bat,Colombo,India,ICC World Twenty20,533291,A
1225,533291B,2012,R Premadasa Stadium,India,Pakistan,36,1,90,1,3,0,129,2,Pakistan,bat,Colombo,India,ICC World Twenty20,533291,B
1226,1176797A,2019,Amini Park,Vanuatu,Papua New Guinea,26,2,30,6,0,0,56,8,Vanuatu,bat,Port Moresby,Papua New Guinea,ICC World Twenty20 East Asia-Pacific Region Final,1176797,A
1226,1176797B,2019,Amini Park,Papua New Guinea,Vanuatu,60,0,0,0,0,0,60,0,Vanuatu,bat,Port Moresby,Papua New Guinea,ICC World Twenty20 East Asia-Pacific Region Final,1176797,B
1227,1157759A,2018,Eden Gardens,West Indies,India,31,3,39,3,39,1,109,7,India,field,Kolkata,India,West Indies tour of India,1157759,A
1227,1157759B,2018,Eden Gardens,India,West Indies,35,3,59,2,16,0,110,5,India,field,Kolkata,India,West Indies tour of India,1157759,B
1228,1189743A,2019,King George V Sports Ground,Guernsey,Denmark,26,1,53,5,39,1,118,7,Denmark,field,Castel,Guernsey,ICC Men's T20 World Cup Europe Region Final,1189743,A
1228,1189743B,2019,King George V Sports Ground,Denmark,Guernsey,43,1,36,4,33,3,112,8,Denmark,field,Castel,Guernsey,ICC Men's T20 World Cup Europe Region Final,1189743,B
1229,1199544A,2019,Dubai International Cricket Stadium,Oman,Hong Kong,28,3,49,2,57,1,134,6,Oman,bat,Dubai,Oman,ICC Men's T20 World Cup Qualifier,1199544,A
1229,1199544B,2019,Dubai International Cricket Stadium,Hong Kong,Oman,37,4,64,2,21,1,122,7,Oman,bat,Dubai,Oman,ICC Men's T20 World Cup Qualifier,1199544,B
1230,1291188A,2021,Central Broward Regional Park Stadium Turf Ground,Ireland,United States of America,59,1,57,5,34,3,150,9,United States of America,field,Lauderhill,Ireland,Ireland tour of United States of America and West Indies,1291188,A
1230,1291188B,2021,Central Broward Regional Park Stadium Turf Ground,United States of America,Ireland,34,1,63,2,44,3,141,6,United States of America,field,Lauderhill,Ireland,Ireland tour of United States of America and West Indies,1291188,B
1231,567367A,2013,SuperSport Park,Pakistan,South Africa,52,1,116,2,27,4,195,7,Pakistan,bat,Centurion,Pakistan,Pakistan in South Africa T20I Series,567367,A
1231,567367B,2013,SuperSport Park,South Africa,Pakistan,53,4,47,5,0,0,100,9,Pakistan,bat,Centurion,Pakistan,Pakistan in South Africa T20I Series,567367,B
1232,1187020A,2019,Wankhede Stadium,India,West Indies,72,0,104,2,64,1,240,3,West Indies,field,Mumbai,India,West Indies tour of India,1187020,A
1232,1187020B,2019,Wankhede Stadium,West Indies,India,41,3,107,3,25,2,173,8,West Indies,field,Mumbai,India,West Indies tour of India,1187020,B
1233,1298153A,2022,Perth Stadium,Sri Lanka,Australia,36,1,75,4,46,1,157,6,Australia,field,Perth,Australia,ICC Men's T20 World Cup,1298153,A
1233,1298153B,2022,Perth Stadium,Australia,Sri Lanka,33,1,113,2,12,0,158,3,Australia,field,Perth,Australia,ICC Men's T20 World Cup,1298153,B
1234,875467A,2015,Grange Cricket Club Ground,United Arab Emirates,Afghanistan,58,0,73,3,33,3,164,6,United Arab Emirates,bat,Edinburgh,Afghanistan,ICC World Twenty20 Qualifier,875467,A
1234,875467B,2015,Grange Cricket Club Ground,Afghanistan,United Arab Emirates,63,1,82,1,23,0,168,2,United Arab Emirates,bat,Edinburgh,Afghanistan,ICC World Twenty20 Qualifier,875467,B
1235,1298147A,2022,Sydney Cricket Ground,New Zealand,Australia,65,1,87,1,48,0,200,2,Australia,field,Sydney,New Zealand,ICC Men's T20 World Cup,1298147,A
1235,1298147B,2022,Sydney Cricket Ground,Australia,New Zealand,37,3,72,4,2,3,111,10,Australia,field,Sydney,New Zealand,ICC Men's T20 World Cup,1298147,B
1236,566938A,2013,Riverside Ground,England,Australia,61,0,94,1,40,4,195,5,Australia,field,Chester-le-Street,England,Australia in England T20I Series,566938,A
1236,566938B,2013,Riverside Ground,Australia,England,42,2,87,3,39,3,168,8,Australia,field,Chester-le-Street,England,Australia in England T20I Series,566938,B
1237,1170457A,2019,ICC Academy,United Arab Emirates,Nepal,40,2,82,2,31,2,153,6,Nepal,field,Dubai,United Arab Emirates,Nepal tour of United Arab Emirates,1170457,A
1237,1170457B,2019,ICC Academy,Nepal,United Arab Emirates,37,3,67,3,28,1,132,7,Nepal,field,Dubai,United Arab Emirates,Nepal tour of United Arab Emirates,1170457,B
1238,1279385A,2021,Happy Valley Ground,Cyprus,Estonia,50,1,89,1,21,6,160,8,Cyprus,bat,Episkopi,Cyprus,Cyprus T20 Tri-Series,1279385,A
1238,1279385B,2021,Happy Valley Ground,Estonia,Cyprus,44,2,58,2,19,2,121,6,Cyprus,bat,Episkopi,Cyprus,Cyprus T20 Tri-Series,1279385,B
1239,546418A,2012,Dubai International Cricket Stadium,Netherlands,Afghanistan,51,0,55,4,43,1,149,5,Netherlands,bat,,Afghanistan,ICC World Twenty20 Qualifier,546418,A
1239,546418B,2012,Dubai International Cricket Stadium,Afghanistan,Netherlands,43,1,70,2,37,2,150,5,Netherlands,bat,,Afghanistan,ICC World Twenty20 Qualifier,546418,B
1240,1185186A,2019,King George V Sports Ground,Jersey,Norway,47,0,84,1,29,2,160,3,Jersey,bat,Castel,Jersey,ICC Men's T20 World Cup Europe Region Final,1185186,A
1240,1185186B,2019,King George V Sports Ground,Norway,Jersey,25,3,41,5,14,1,80,9,Jersey,bat,Castel,Jersey,ICC Men's T20 World Cup Europe Region Final,1185186,B
1241,1185192A,2019,College Field,Jersey,Italy,46,2,67,3,36,1,149,6,Italy,field,St Peter Port,Jersey,ICC Men's T20 World Cup Europe Region Final,1185192,A
1241,1185192B,2019,College Field,Italy,Jersey,27,2,45,6,4,2,76,10,Italy,field,St Peter Port,Jersey,ICC Men's T20 World Cup Europe Region Final,1185192,B
1242,1075507A,2017,Mangaung Oval,South Africa,Bangladesh,65,1,79,2,51,0,195,3,South Africa,bat,Bloemfontein,South Africa,Bangladesh tour of South Africa,1075507,A
1242,1075507B,2017,Mangaung Oval,Bangladesh,South Africa,55,1,91,4,29,2,175,7,South Africa,bat,Bloemfontein,South Africa,Bangladesh tour of South Africa,1075507,B
1243,1243019A,2021,Gaddafi Stadium,Pakistan,South Africa,45,2,82,2,42,2,169,6,South Africa,field,Lahore,Pakistan,South Africa tour of Pakistan,1243019,A
1243,1243019B,2021,Gaddafi Stadium,South Africa,Pakistan,51,0,71,4,44,2,166,6,South Africa,field,Lahore,Pakistan,South Africa tour of Pakistan,1243019,B
1244,1273723A,2021,Sharjah Cricket Stadium,Netherlands,Sri Lanka,37,4,7,1,0,0,44,5,Sri Lanka,field,Sharjah,Sri Lanka,ICC Men's T20 World Cup,1273723,A
1244,1273723B,2021,Sharjah Cricket Stadium,Sri Lanka,Netherlands,39,2,6,0,0,0,45,2,Sri Lanka,field,Sharjah,Sri Lanka,ICC Men's T20 World Cup,1273723,B
1245,1119542A,2018,Edgbaston,England,Australia,70,0,108,3,43,2,221,5,Australia,field,Birmingham,England,Australia tour of England,1119542,A
1245,1119542B,2018,Edgbaston,Australia,England,59,2,108,4,26,4,193,10,Australia,field,Birmingham,England,Australia tour of England,1119542,B
1246,1273737A,2021,Dubai International Cricket Stadium,Australia,England,21,2,54,1,50,5,125,8,England,field,Dubai,England,ICC Men's T20 World Cup,1273737,A
1246,1273737B,2021,Dubai International Cricket Stadium,England,Australia,66,0,60,1,0,0,126,1,England,field,Dubai,England,ICC Men's T20 World Cup,1273737,B
1247,1074962A,2017,Sheikh Zayed Stadium,United Arab Emirates,Afghanistan,63,1,56,2,27,3,146,6,Afghanistan,field,Abu Dhabi,Afghanistan,Desert T20 Challenge,1074962,A
1247,1074962B,2017,Sheikh Zayed Stadium,Afghanistan,United Arab Emirates,49,2,61,2,37,1,147,5,Afghanistan,field,Abu Dhabi,Afghanistan,Desert T20 Challenge,1074962,B
1248,412698A,2010,Beausejour Stadium,New Zealand,England,39,1,79,2,31,3,149,6,New Zealand,bat,St Lucia,England,ICC World Twenty20,412698,A
1248,412698B,2010,Beausejour Stadium,England,New Zealand,57,1,66,3,30,2,153,6,New Zealand,bat,St Lucia,England,ICC World Twenty20,412698,B
1249,1272373A,2021,Castle Avenue,Zimbabwe,Ireland,38,2,54,4,25,1,117,7,Ireland,field,Dublin,Zimbabwe,Zimbabwe tour of Ireland and Scotland,1272373,A
1249,1272373B,2021,Castle Avenue,Ireland,Zimbabwe,31,1,58,5,25,2,114,8,Ireland,field,Dublin,Zimbabwe,Zimbabwe tour of Ireland and Scotland,1272373,B
1250,875513A,2015,The Village,Nepal,Papua New Guinea,34,1,48,6,11,3,93,10,Papua New Guinea,field,Dublin,Papua New Guinea,ICC World Twenty20 Qualifier,875513,A
1250,875513B,2015,The Village,Papua New Guinea,Nepal,45,1,54,1,0,0,99,2,Papua New Guinea,field,Dublin,Papua New Guinea,ICC World Twenty20 Qualifier,875513,B
1251,875507A,2015,Civil Service Cricket Club,Nepal,Hong Kong,17,2,55,3,37,3,109,8,Hong Kong,field,Belfast,Hong Kong,ICC World Twenty20 Qualifier,875507,A
1251,875507B,2015,Civil Service Cricket Club,Hong Kong,Nepal,34,1,52,3,24,1,110,5,Hong Kong,field,Belfast,Hong Kong,ICC World Twenty20 Qualifier,875507,B
1252,1072320A,2018,Eden Park,New Zealand,Australia,67,0,139,2,37,4,243,6,New Zealand,bat,Auckland,Australia,Trans-Tasman Twenty20 Trophy,1072320,A
1252,1072320B,2018,Eden Park,Australia,New Zealand,91,0,111,3,43,2,245,5,New Zealand,bat,Auckland,Australia,Trans-Tasman Twenty20 Trophy,1072320,B
1253,355993A,2009,Kennington Oval,Australia,West Indies,35,2,85,2,49,2,169,6,Australia,bat,London,West Indies,ICC World Twenty20,355993,A
1253,355993B,2009,Kennington Oval,West Indies,Australia,83,0,89,3,0,0,172,3,Australia,bat,London,West Indies,ICC World Twenty20,355993,B
1254,1278689A,2022,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,South Africa,57,0,87,4,35,1,179,5,South Africa,field,Visakhapatnam,India,South Africa tour of India,1278689,A
1254,1278689B,2022,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,South Africa,India,38,2,72,4,21,4,131,10,South Africa,field,Visakhapatnam,India,South Africa tour of India,1278689,B
1255,1309702A,2022,United Cricket Club Ground,Namibia,Uganda,30,1,95,3,52,0,177,4,Uganda,field,Windhoek,Uganda,Uganda tour of Namibia,1309702,A
1255,1309702B,2022,United Cricket Club Ground,Uganda,Namibia,42,2,83,1,53,0,178,3,Uganda,field,Windhoek,Uganda,Uganda tour of Namibia,1309702,B
1256,1252060A,2021,Sheikh Zayed Stadium,Afghanistan,Zimbabwe,43,1,71,3,69,3,183,7,Afghanistan,bat,Abu Dhabi,Afghanistan,Zimbabwe tour of United Arab Emirates,1252060,A
1256,1252060B,2021,Sheikh Zayed Stadium,Zimbabwe,Afghanistan,40,2,50,3,46,0,136,5,Afghanistan,bat,Abu Dhabi,Afghanistan,Zimbabwe tour of United Arab Emirates,1252060,B
1257,1321273A,2022,Tikkurila Cricket Ground,Sweden,Greece,42,0,63,4,45,2,150,6,Greece,field,Vantaa,Sweden,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321273,A
1257,1321273B,2022,Tikkurila Cricket Ground,Greece,Sweden,31,3,12,3,0,0,43,6,Greece,field,Vantaa,Sweden,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321273,B
1258,1271450A,2021,Bayer Uerdingen Cricket Ground,Norway,Germany,43,2,66,1,76,4,185,7,Germany,field,Krefeld,Norway,Germany T20 Tri-Series,1271450,A
1258,1271450B,2021,Bayer Uerdingen Cricket Ground,Germany,Norway,29,2,65,2,40,2,134,6,Germany,field,Krefeld,Norway,Germany T20 Tri-Series,1271450,B
1259,1243390A,2021,Narendra Modi Stadium,India,England,24,3,76,2,56,1,156,6,England,field,Ahmedabad,England,England tour of India,1243390,A
1259,1243390B,2021,Narendra Modi Stadium,England,India,57,1,75,1,26,0,158,2,England,field,Ahmedabad,England,England tour of India,1243390,B
1260,1133817A,2018,R.Premadasa Stadium,India,Sri Lanka,40,2,94,1,40,2,174,5,Sri Lanka,field,Colombo,Sri Lanka,Nidahas Trophy,1133817,A
1260,1133817B,2018,R.Premadasa Stadium,Sri Lanka,India,75,2,65,3,35,0,175,5,Sri Lanka,field,Colombo,Sri Lanka,Nidahas Trophy,1133817,B
1261,1321267A,2022,Tikkurila Cricket Ground,Croatia,Greece,24,1,55,2,25,3,104,6,Greece,field,Vantaa,Croatia,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321267,A
1261,1321267B,2022,Tikkurila Cricket Ground,Greece,Croatia,37,1,46,5,18,3,101,9,Greece,field,Vantaa,Croatia,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321267,B
1262,702143A,2014,Sabina Park,West Indies,Ireland,30,1,44,4,22,3,96,8,Ireland,field,Jamaica,West Indies,Ireland in West Indies T20I Series,702143,A
1262,702143B,2014,Sabina Park,Ireland,West Indies,19,2,46,4,20,2,85,8,Ireland,field,Jamaica,West Indies,Ireland in West Indies T20I Series,702143,B
1263,1157375A,2018,Sheikh Zayed Stadium,Pakistan,New Zealand,31,2,75,2,42,2,148,6,Pakistan,bat,Abu Dhabi,Pakistan,New Zealand tour of United Arab Emirates,1157375,A
1263,1157375B,2018,Sheikh Zayed Stadium,New Zealand,Pakistan,50,1,53,3,43,2,146,6,Pakistan,bat,Abu Dhabi,Pakistan,New Zealand tour of United Arab Emirates,1157375,B
1264,690353A,2014,Zahur Ahmed Chowdhury Stadium,Bangladesh,Sri Lanka,42,4,49,3,29,3,120,10,Bangladesh,bat,Chittagong,Sri Lanka,Sri Lanka in Bangladesh T20I Series,690353,A
1264,690353B,2014,Zahur Ahmed Chowdhury Stadium,Sri Lanka,Bangladesh,31,1,56,3,36,1,123,5,Bangladesh,bat,Chittagong,Sri Lanka,Sri Lanka in Bangladesh T20I Series,690353,B
1265,446961A,2011,Melbourne Cricket Ground,Australia,England,57,1,51,3,39,2,147,6,Australia,bat,,Australia,England in Australia T20I Series,446961,A
1265,446961B,2011,Melbourne Cricket Ground,England,Australia,50,0,53,4,40,2,143,6,Australia,bat,,Australia,England in Australia T20I Series,446961,B
1266,1197145A,2019,Zahur Ahmed Chowdhury Stadium,Afghanistan,Bangladesh,42,0,68,5,28,1,138,6,Bangladesh,field,Chattogram,Bangladesh,Bangladesh Twenty20 Tri-Series,1197145,A
1266,1197145B,2019,Zahur Ahmed Chowdhury Stadium,Bangladesh,Afghanistan,28,2,77,3,34,0,139,5,Bangladesh,field,Chattogram,Bangladesh,Bangladesh Twenty20 Tri-Series,1197145,B
1267,1310938A,2022,Queens Sports Club,Zimbabwe,Namibia,44,1,72,1,37,1,153,3,Zimbabwe,bat,Bulawayo,Zimbabwe,Namibia tour of Zimbabwe,1310938,A
1267,1310938B,2022,Queens Sports Club,Namibia,Zimbabwe,45,0,66,3,35,2,146,5,Zimbabwe,bat,Bulawayo,Zimbabwe,Namibia tour of Zimbabwe,1310938,B
1268,1318357A,2022,Bayer Uerdingen Cricket Ground,Germany,Austria,21,2,78,3,36,2,135,7,Austria,field,Krefeld,Germany,Germany T20 Tri-Series,1318357,A
1268,1318357B,2022,Bayer Uerdingen Cricket Ground,Austria,Germany,42,5,39,5,0,0,81,10,Austria,field,Krefeld,Germany,Germany T20 Tri-Series,1318357,B
1269,1115807A,2018,Westpac Stadium,Pakistan,New Zealand,24,4,46,3,35,3,105,10,New Zealand,field,Wellington,New Zealand,Pakistan tour of New Zealand,1115807,A
1269,1115807B,2018,Westpac Stadium,New Zealand,Pakistan,28,2,78,1,0,0,106,3,New Zealand,field,Wellington,New Zealand,Pakistan tour of New Zealand,1115807,B
1270,1229820A,2020,Pierre Werner Cricket Ground,Belgium,Luxembourg,35,2,82,2,48,3,165,7,Belgium,bat,Walferdange,Belgium,Luxembourg Twenty20 Tri-Series,1229820,A
1270,1229820B,2020,Pierre Werner Cricket Ground,Luxembourg,Belgium,29,3,74,2,25,3,128,8,Belgium,bat,Walferdange,Belgium,Luxembourg Twenty20 Tri-Series,1229820,B
1271,915783A,2015,Pallekele International Cricket Stadium,Sri Lanka,West Indies,65,0,89,2,61,1,215,3,West Indies,field,,Sri Lanka,West Indies in Sri Lanka T20I Series,915783,A
1271,915783B,2015,Pallekele International Cricket Stadium,West Indies,Sri Lanka,56,2,92,6,37,2,185,10,West Indies,field,,Sri Lanka,West Indies in Sri Lanka T20I Series,915783,B
1272,1122729A,2017,Barabati Stadium,India,Sri Lanka,50,1,69,2,61,0,180,3,Sri Lanka,field,Cuttack,India,Sri Lanka tour of India,1122729,A
1272,1122729B,2017,Barabati Stadium,Sri Lanka,India,40,2,47,8,0,0,87,10,Sri Lanka,field,Cuttack,India,Sri Lanka tour of India,1122729,B
1273,966745A,2016,Shere Bangla National Stadium,India,Bangladesh,31,2,84,2,51,2,166,6,Bangladesh,field,Dhaka,India,Asia Cup,966745,A
1273,966745B,2016,Shere Bangla National Stadium,Bangladesh,India,31,2,65,3,25,2,121,7,Bangladesh,field,Dhaka,India,Asia Cup,966745,B
1274,473919A,2010,Seddon Park,New Zealand,Pakistan,52,1,84,3,49,2,185,6,Pakistan,field,Hamilton,New Zealand,Pakistan in New Zealand T20I Series,473919,A
1274,473919B,2010,Seddon Park,Pakistan,New Zealand,58,1,56,6,32,2,146,9,Pakistan,field,Hamilton,New Zealand,Pakistan in New Zealand T20I Series,473919,B
1275,1277974A,2021,Shere Bangla National Stadium,Bangladesh,Pakistan,25,3,67,2,35,2,127,7,Bangladesh,bat,Dhaka,Pakistan,Pakistan tour of Bangladesh,1277974,A
1275,1277974B,2021,Shere Bangla National Stadium,Pakistan,Bangladesh,24,3,66,1,42,1,132,5,Bangladesh,bat,Dhaka,Pakistan,Pakistan tour of Bangladesh,1277974,B
1276,966751A,2016,Shere Bangla National Stadium,Pakistan,India,32,3,39,3,12,2,83,8,India,field,Mirpur,India,Asia Cup,966751,A
1276,966751B,2016,Shere Bangla National Stadium,India,Pakistan,21,1,64,1,0,0,85,2,India,field,Mirpur,India,Asia Cup,966751,B
1277,1321298A,2022,Kerava National Cricket Ground,Switzerland,Czech Republic,69,2,77,3,37,2,183,7,Switzerland,bat,Kerava,Czech Republic,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321298,A
1277,1321298B,2022,Kerava National Cricket Ground,Czech Republic,Switzerland,59,1,104,2,21,0,184,3,Switzerland,bat,Kerava,Czech Republic,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321298,B
1278,682903A,2014,Sylhet Stadium,United Arab Emirates,Netherlands,41,2,90,4,20,4,151,10,United Arab Emirates,bat,,Netherlands,World T20,682903,A
1278,682903B,2014,Sylhet Stadium,Netherlands,United Arab Emirates,67,0,74,3,11,1,152,4,United Arab Emirates,bat,,Netherlands,World T20,682903,B
1279,682917A,2014,Sylhet Stadium,United Arab Emirates,Zimbabwe,31,2,57,4,28,1,116,7,Zimbabwe,field,,Zimbabwe,World T20,682917,A
1279,682917B,2014,Sylhet Stadium,Zimbabwe,United Arab Emirates,31,3,87,2,0,0,118,5,Zimbabwe,field,,Zimbabwe,World T20,682917,B
1280,361660A,2008,Maple Leaf North-West Ground,Pakistan,Sri Lanka,35,2,67,3,30,2,132,7,Sri Lanka,field,King City,Sri Lanka,T20 Canada,361660,A
1280,361660B,2008,Maple Leaf North-West Ground,Sri Lanka,Pakistan,63,0,52,3,18,1,133,4,Sri Lanka,field,King City,Sri Lanka,T20 Canada,361660,B
1281,430884A,2009,Vidarbha Cricket Association Stadium,Sri Lanka,India,43,0,109,3,63,2,215,5,India,field,Nagpur,Sri Lanka,Sri Lanka in India T20I Series,430884,A
1281,430884B,2009,Vidarbha Cricket Association Stadium,India,Sri Lanka,77,1,75,6,34,2,186,9,India,field,Nagpur,Sri Lanka,Sri Lanka in India T20I Series,430884,B
1282,963699A,2016,JSCA International Stadium Complex,India,Sri Lanka,70,0,75,3,51,3,196,6,Sri Lanka,field,Ranchi,India,Sri Lanka in India T20I Series,963699,A
1282,963699B,2016,JSCA International Stadium Complex,Sri Lanka,India,37,3,78,2,12,3,127,8,Sri Lanka,field,Ranchi,India,Sri Lanka in India T20I Series,963699,B
1283,1098211A,2017,Sabina Park,India,West Indies,66,2,87,1,37,3,190,6,West Indies,field,Jamaica,West Indies,,1098211,A
1283,1098211B,2017,Sabina Park,West Indies,India,66,0,98,1,30,0,194,1,West Indies,field,Jamaica,West Indies,,1098211,B
1284,1336032A,2022,Dubai International Cricket Stadium,Bangladesh,United Arab Emirates,48,0,83,2,38,1,169,3,United Arab Emirates,field,Dubai,Bangladesh,Bangladesh tour of United Arab Emirates,1336032,A
1284,1336032B,2022,Dubai International Cricket Stadium,United Arab Emirates,Bangladesh,28,1,76,2,33,1,137,4,United Arab Emirates,field,Dubai,Bangladesh,Bangladesh tour of United Arab Emirates,1336032,B
1285,848839A,2015,Kingsmead,New Zealand,South Africa,56,0,71,4,24,3,151,7,South Africa,field,Durban,South Africa,New Zealand in South Africa T20I Series,848839,A
1285,848839B,2015,Kingsmead,South Africa,New Zealand,40,1,96,1,16,2,152,4,South Africa,field,Durban,South Africa,New Zealand in South Africa T20I Series,848839,B
1286,1040487A,2017,Greater Noida Sports Complex Ground,Afghanistan,Ireland,39,2,91,3,54,3,184,8,Afghanistan,bat,Greater Noida,Afghanistan,Afghanistan v Ireland T20I Series,1040487,A
1286,1040487B,2017,Greater Noida Sports Complex Ground,Ireland,Afghanistan,64,2,29,6,0,0,93,8,Afghanistan,bat,Greater Noida,Afghanistan,Afghanistan v Ireland T20I Series,1040487,B
1287,1282742A,2021,Desert Springs Cricket Ground,Jersey,Denmark,15,2,45,4,34,3,94,9,Denmark,field,Almeria,Jersey,ICC Men's T20 World Cup Europe Region Qualifier,1282742,A
1287,1282742B,2021,Desert Springs Cricket Ground,Denmark,Jersey,30,1,43,5,16,3,89,9,Denmark,field,Almeria,Jersey,ICC Men's T20 World Cup Europe Region Qualifier,1282742,B
1288,1273750A,2021,Sharjah Cricket Stadium,South Africa,England,40,1,99,1,50,0,189,2,England,field,Sharjah,South Africa,ICC Men's T20 World Cup,1273750,A
1288,1273750B,2021,Sharjah Cricket Stadium,England,South Africa,59,2,85,1,35,5,179,8,England,field,Sharjah,South Africa,ICC Men's T20 World Cup,1273750,B
1289,951367A,2016,Feroz Shah Kotla,Sri Lanka,South Africa,47,2,52,4,21,3,120,9,South Africa,field,Delhi,South Africa,World T20,951367,A
1289,951367B,2016,Feroz Shah Kotla,South Africa,Sri Lanka,34,1,65,0,23,0,122,1,South Africa,field,Delhi,South Africa,World T20,951367,B
1290,1144150A,2018,Senwes Park,Zimbabwe,South Africa,34,2,67,3,31,2,132,7,Zimbabwe,bat,Potchefstroom,South Africa,Zimbabwe tour of South Africa,1144150,A
1290,1144150B,2018,Senwes Park,South Africa,Zimbabwe,51,1,84,3,0,0,135,4,Zimbabwe,bat,Potchefstroom,South Africa,Zimbabwe tour of South Africa,1144150,B
1291,951373A,2016,Eden Gardens,England,West Indies,33,3,84,4,38,2,155,9,West Indies,field,Kolkata,West Indies,World T20,951373,A
1291,951373B,2016,Eden Gardens,West Indies,England,37,2,74,3,50,0,161,5,West Indies,field,Kolkata,West Indies,World T20,951373,B
1292,661695A,2014,Eden Park,New Zealand,West Indies,55,1,84,4,50,0,189,5,New Zealand,bat,Auckland,New Zealand,West Indies in New Zealand T20I Series,661695,A
1292,661695B,2014,Eden Park,West Indies,New Zealand,39,2,51,6,18,0,108,8,New Zealand,bat,Auckland,New Zealand,West Indies in New Zealand T20I Series,661695,B
1293,1273744A,2021,Zayed Cricket Stadium,India,Afghanistan,53,0,92,1,65,1,210,2,Afghanistan,field,Abu Dhabi,India,ICC Men's T20 World Cup,1273744,A
1293,1273744B,2021,Zayed Cricket Stadium,Afghanistan,India,47,2,51,2,46,2,144,6,Afghanistan,field,Abu Dhabi,India,ICC Men's T20 World Cup,1273744,B
1294,287871A,2007,New Wanderers Stadium,Sri Lanka,Bangladesh,39,2,64,2,44,0,147,4,Bangladesh,field,Johannesburg,Sri Lanka,ICC World Twenty20,287871,A
1294,287871B,2007,New Wanderers Stadium,Bangladesh,Sri Lanka,31,2,52,7,0,0,83,9,Bangladesh,field,Johannesburg,Sri Lanka,ICC World Twenty20,287871,B
1295,958419A,2016,Sheikh Abu Naser Stadium,Zimbabwe,Bangladesh,59,1,82,2,46,2,187,5,Zimbabwe,bat,Khulna,Zimbabwe,Walton T20 Cricket Series,958419,A
1295,958419B,2016,Sheikh Abu Naser Stadium,Bangladesh,Zimbabwe,54,1,59,5,43,0,156,6,Zimbabwe,bat,Khulna,Zimbabwe,Walton T20 Cricket Series,958419,B
1296,1284496A,2021,West End Park International Cricket Stadium,Bahrain,Saudi Arabia,54,0,93,3,32,6,179,9,Saudi Arabia,field,Doha,Bahrain,ICC Men's T20 World Cup Asia A Qualifier,1284496,A
1296,1284496B,2021,West End Park International Cricket Stadium,Saudi Arabia,Bahrain,39,3,75,3,47,0,161,6,Saudi Arabia,field,Doha,Bahrain,ICC Men's T20 World Cup Asia A Qualifier,1284496,B
1297,287865A,2007,New Wanderers Stadium,New Zealand,India,48,1,89,2,53,5,190,8,India,field,Johannesburg,New Zealand,ICC World Twenty20,287865,A
1297,287865B,2007,New Wanderers Stadium,India,New Zealand,76,1,69,4,35,4,180,9,India,field,Johannesburg,New Zealand,ICC World Twenty20,287865,B
1298,1303314A,2022,Civil Service Cricket Club,Ireland,New Zealand,42,1,66,4,66,1,174,6,Ireland,bat,Belfast,New Zealand,New Zealand tour of Ireland,1303314,A
